ID;馬名;頭文字;行;価格
125003;ｻﾝﾃﾞｰｻｲﾚﾝｽ;ｻ;サ;2500
120002;ﾌﾞﾗｲｱﾝｽﾞﾀｲﾑ;ﾌ;ハ;2000
118002;ﾉｰｻﾞﾝﾃｰｽﾄ;ﾉ;ナ;1800
115002;ﾄﾆｰﾋﾞﾝ;ﾄ;タ;1500
110004;ﾘｱﾙｼｬﾀﾞｲ;ﾘ;ラ;1000
109004;ｼﾝﾎﾞﾘﾙﾄﾞﾙﾌ;ｼ;サ;900
108008;ｻｸﾗﾕﾀｶｵｰ;ｻ;サ;800
108009;ｼﾞｪｲﾄﾞﾛﾊﾞﾘｰ;ｼ;サ;800
108010;ﾏﾙｾﾞﾝｽｷｰ;ﾏ;マ;800
107003;ﾍｸﾀｰﾌﾟﾛﾃｸﾀｰ;ﾍ;ハ;700
107004;ﾐﾙｼﾞｮｰｼﾞ;ﾐ;マ;700
107005;ﾘｳﾞﾘｱ;ﾘ;ラ;700
106007;ｱﾝﾊﾞｰｼｬﾀﾞｲ;ｱ;ア;600
106008;ﾀﾞﾝｼﾝｸﾞﾌﾞﾚｰｳﾞ;ﾀ;タ;600
106009;ﾆﾎﾝﾋﾟﾛｳｲﾅｰ;ﾆ;ナ;600
106010;ﾌｫｰﾃｨﾅｲﾅｰ;ﾌ;ハ;600
106011;ﾒｼﾞﾛﾗｲｱﾝ;ﾒ;マ;600
106012;ﾓｶﾞﾐ;ﾓ;マ;600
105007;ｳｫｰﾆﾝｸﾞ;ｳ;ア;500
105008;ｽｷｬﾝ;ｽ;サ;500
105009;ﾀﾏﾓｸﾛｽ;ﾀ;タ;500
105010;ﾃﾞｲﾝﾋﾙ;ﾃ;タ;500
105011;ﾎﾟﾘｯｼｭﾈｲﾋﾞｰ;ﾎ;ハ;500
105012;ﾓｶﾞﾝﾎﾞ;ﾓ;マ;500
105013;ﾗｽﾄﾀｲｸｰﾝ;ﾗ;ラ;500
105014;ﾘﾝﾄﾞｼｪｰﾊﾞｰ;ﾘ;ラ;500
104501;ｸﾘｽﾀﾙｸﾞﾘｯﾀｰｽﾞ;ｸ;カ;450
104001;ｵｸﾞﾘｷｬｯﾌﾟ;ｵ;ア;400
104002;ｷｬﾛﾙﾊｳｽ;ｷ;カ;400
104003;ｷﾝｸﾞｸﾞﾛｰﾘｱｽ;ｷ;カ;400
104004;ｸﾘﾐﾅﾙﾀｲﾌﾟ;ｸ;カ;400
104005;ｻｯｶｰﾎﾞｰｲ;ｻ;サ;400
104006;ﾀﾞﾝｽﾎｰﾙ;ﾀ;タ;400
104007;ﾄﾞｸﾀｰﾃﾞｳﾞｨｱｽ;ﾄ;タ;400
104008;ﾅｽﾙｴﾙｱﾗﾌﾞ;ﾅ;ナ;400
