ID;馬名;頭文字;行;価格
200501;ｱﾝﾁｮﾋﾞｰ;ｱ;ア;500
200503;ﾎﾟﾃﾄｸﾞﾗﾀﾝ;ﾎ;ハ;500
200502;ｽｸｰﾙｻﾝﾃﾞｰ;ｽ;サ;500
200601;ｸﾘﾖﾝﾙｰｼﾞｭ;ｸ;カ;600
200602;ﾐｽﾍﾟﾀﾞﾝﾄﾘｰ;ﾐ;マ;600
200604;ﾒﾘｹﾝｵﾀﾏ;ﾒ;マ;600
200603;ﾐﾅﾓﾄｼｽﾞｶ;ﾐ;マ;600
200702;ｱｲﾏｲﾐｰﾏｲﾝ;ｱ;ア;700
200704;ﾃｰﾌﾞﾙﾜｲﾝ;ﾃ;タ;700
200707;ﾍﾟｯﾄﾎﾞﾄﾙ;ﾍ;ハ;700
200701;ｱｲｽﾍﾟｰﾙ;ｱ;ア;700
200708;ﾐｽﾞﾉｱｰﾁ;ﾐ;マ;700
200703;ｴﾄﾞﾑﾗｻｷ;ｴ;ア;700
200706;ﾉｰﾏｼﾞｰﾝ;ﾉ;ナ;700
200705;ﾆﾌﾃｨｻｰﾋﾞｽ;ﾆ;ナ;700
200809;ｼﾙｸﾗﾝｼﾞｪﾘｰ;ｼ;サ;800
200806;ｺﾃﾞﾏﾘ;ｺ;カ;800
200803;ｷｬｯﾄﾐﾝﾄ;ｷ;カ;800
200813;ﾊﾆｰﾌﾗｯｼｭ;ﾊ;ハ;800
200810;ｼﾞｬｽﾐﾝﾃｨｰ;ｼ;サ;800
200815;ﾍﾟﾍﾟﾛﾝﾁｰﾉ;ﾍ;ハ;800
200811;ﾀｹﾉﾏｼﾞｯｸ;ﾀ;タ;800
200808;ｼｬﾝﾎﾟﾝﾏｰﾁ;ｼ;サ;800
200807;ｺﾞﾝﾆﾉﾁｯﾁ;ｺ;カ;800
200804;ｷﾙﾄｸｰﾙ;ｷ;カ;800
200801;ｳｲﾝﾀｰﾐｭｰﾄ;ｳ;ア;800
200814;ﾊﾞﾙｻﾐｺ;ﾊ;ハ;800
200802;ｵｵｼﾏﾅｷﾞｻ;ｵ;ア;800
200805;ｸﾞﾘﾆｯｼﾞﾋﾞﾚｯｼﾞ;ｸ;カ;800
200812;ﾁｰﾁｬﾏｰｸ;ﾁ;タ;800
200816;ﾚｯﾂﾂｲｽﾄ;ﾚ;ラ;800
200901;ｻｻﾞﾝｻﾝｷｭｰ;ｻ;サ;900
200903;ﾕｰﾚｲﾙﾊﾟｽ;ﾕ;ヤ;900
200904;ﾚｲﾆｰﾊﾞｶﾝｽ;ﾚ;ラ;900
200902;ﾋﾞﾀｰｴｽﾌﾟﾚｯｿ;ﾋ;ハ;900
201013;ﾛﾝﾊﾟｰﾙｰﾑ;ﾛ;ラ;1000
201001;ｱｽｷｰﾊﾟｰﾄﾂｰ;ｱ;ア;1000
201007;ﾋｽﾃﾘｯｸ;ﾋ;ハ;1000
201012;ﾐﾘｵﾝｷｯｽ;ﾐ;マ;1000
201010;ﾌﾟﾚﾐｱﾑｸﾞｯｽﾞ;ﾌ;ハ;1000
201006;ﾊﾆｰｶｽﾃﾗ;ﾊ;ハ;1000
201009;ﾌﾞｰﾄｽﾄﾗｯﾌﾟ;ﾌ;ハ;1000
201003;ｺﾞｰﾙﾄﾞｼﾗﾅﾐ;ｺ;カ;1000
201002;ｶﾉﾝ;ｶ;カ;1000
201011;ﾎﾟｰﾄｾﾙﾐ;ﾎ;ハ;1000
201008;ﾋﾒｷﾞﾐ;ﾋ;ハ;1000
201005;ﾅﾎｺ;ﾅ;ナ;1000
201004;ｽﾊﾟｲｽｵﾌﾞﾗｲﾌ;ｽ;サ;1000
201101;ﾃﾚﾎﾝﾘｸｴｽﾄ;ﾃ;タ;1100
201102;ﾌﾞﾙｰﾉｰﾄ;ﾌ;ハ;1100
201207;ﾋｯﾁﾊｲｸ;ﾋ;ハ;1200
